State,Average weekly earnings ($),Males ($),Females ($)
NSW,"1,891.40","1,977.50","1,760.20"
VIC,"1,858.10","1,940.90","1,733.30"
QLD,"1,844.70","1,931.50","1,709.80"
SA,"1,735.40","1,793.80","1,628.80"
WA,"2,107.70","2,301.60","1,802.00"
TAS,"1,670.00","1,704.30","1,612.20"
NT,"1,832.80","1,974.90","1,671.10"
ACT,"2,087.60","2,189.90","1,972.90"
AUS,"1,888.80","1,982.80","1,744.80"
